	Symbol	EPS Estimate	Reported EPS	Surprise(%)	dt
0	ABMD	0.51	0.29	-43.14	2018-02-01 00:00:00
1	BABA	1.67	1.67		2018-02-01 00:00:00
3	NCZ				2018-02-01 23:59:00
4	GOOGL	9.98	9.7	-2.81	2018-02-01 23:59:00
5	MO	0.8	0.91	13.75	2018-02-01 00:00:00
6	AMZN	1.85	2.16	16.76	2018-02-01 23:59:00
7	AME	0.67	0.7	4.48	2018-02-01 00:00:00
8	AMGN	3.03	2.89	-4.62	2018-02-01 23:59:00
9	AIV	0.07	1.9	2614.29	2018-02-01 23:59:00
10	APO	0.66	1.22	84.85	2018-02-01 00:00:00
11	AAPL	3.86	3.89	0.78	2018-02-01 23:59:00
12	APTV	1.31	1.28	-2.29	2018-02-01 00:00:00
13	ATHN	0.63	1.11	76.19	2018-02-01 23:59:00
14	AN	0.92	1.02	10.87	2018-02-01 00:00:00
15	BAX	0.59	0.64	8.47	2018-02-01 00:00:00
17	BDC	1.76	1.62	-7.95	2018-02-01 00:00:00
18	BMS	0.6	0.63	5.0	2018-02-01 00:00:00
20	BKH	1.05	0.98	-6.67	2018-02-01 23:59:00
21	BX	0.67	0.71	5.97	2018-02-01 00:00:00
22	BSX	0.34	0.34		2018-02-01 00:00:00
25	BRKS	0.29	0.32	10.34	2018-02-01 23:59:00
26	BC	0.74	0.7	-5.41	2018-02-01 00:00:00
27	CPT	0.5	0.91	82.0	2018-02-01 23:59:00
28	CRS	0.52	0.55	5.77	2018-02-01 00:00:00
29	CASS				2018-02-01 00:00:00
31	CI	1.89	1.94	2.65	2018-02-01 00:00:00
33	CME	1.09	1.12	2.75	2018-02-01 00:00:00
34	COP	0.45	0.45		2018-02-01 00:00:00
35	CY	0.25	0.28	12.0	2018-02-01 23:59:00
36	DCT	0.19	0.24	26.32	2018-02-01 23:59:00
37	DECK	3.82	4.97	30.1	2018-02-01 23:59:00
38	DSPG	0.04	0.06	50.0	2018-02-01 00:00:00
39	EMN	1.06	1.62	52.83	2018-02-01 23:59:00
40	ETN	1.21	1.29	6.61	2018-02-01 00:00:00
41	EW	0.91	0.94	3.3	2018-02-01 23:59:00
42	ESL	0.39	0.49	25.64	2018-02-01 23:59:00
43	EXPO	0.42	0.47	11.9	2018-02-01 23:59:00
45	FCFS	0.84	0.94	11.9	2018-02-01 00:00:00
47	FBHS	0.8	0.8		2018-02-01 23:59:00
48	GPRO	-0.11	-0.3	-172.73	2018-02-01 23:59:00
49	HSY	1.07	1.03	-3.74	2018-02-01 00:00:00
53	INGR	1.75	1.73	-1.14	2018-02-01 00:00:00
54	IP	1.19	1.27	6.72	2018-02-01 00:00:00
55	KELYA	0.62	0.8	29.03	2018-02-01 00:00:00
56	KMT	0.55	0.52	-5.45	2018-02-01 23:59:00
57	KRG	0.51	0.52	1.96	2018-02-01 23:59:00
58	LAZ	0.9	1.12	24.44	2018-02-01 00:00:00
59	LQDT	-0.32	-0.14	56.25	2018-02-01 00:00:00
60	LPLA	0.35	0.59	68.57	2018-02-01 23:59:00
61	MHO	0.96	0.9	-6.25	2018-02-01 00:00:00
62	MMP	1.13	1.04	-7.96	2018-02-01 00:00:00
63	MPC	0.95	1.03	8.42	2018-02-01 00:00:00
64	MRLN	0.34	0.43	26.47	2018-02-01 23:59:00
65	MMC	0.94	1.05	11.7	2018-02-01 00:00:00
66	MA	1.12	1.14	1.79	2018-02-01 00:00:00
68	MCK	2.94	3.41	15.99	2018-02-01 00:00:00
69	MDC	0.68	0.71	4.41	2018-02-01 00:00:00
70	MTH	1.25	1.35	8.0	2018-02-01 00:00:00
71	MTX	1.09	1.1	0.92	2018-02-01 23:59:00
72	MSI	2.04	2.1	2.94	2018-02-01 23:59:00
73	MPLX	0.37	0.31	-16.22	2018-02-01 00:00:00
74	MSBF				2018-02-01 23:59:00
75	MSCI	1.0	1.15	15.0	2018-02-01 00:00:00
76	MSGN	0.55	2.05	272.73	2018-02-01 00:00:00
77	MWA	0.06	0.06		2018-02-01 23:59:00
78	NFG	0.84	1.02	21.43	2018-02-01 23:59:00
79	NGVC	0.07	0.04	-42.86	2018-02-01 23:59:00
81	OSIS	0.89	0.97	8.99	2018-02-01 23:59:00
82	PACB	-0.2	-0.18	10.0	2018-02-01 23:59:00
83	PH	2.07	2.15	3.86	2018-02-01 00:00:00
85	PFIS				2018-02-01 23:59:00
86	PJC	1.45	1.8	24.14	2018-02-01 00:00:00
